LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Grimisuat,3038,4.5,684.2,46.25837,7.38235
Grindel,458,3.0,149.7,47.3816819,7.5018167
Grindelwald,3768,171.1,22.0,46.624164,8.0413962
Grolley,1886,5.3,353.2,46.8328352,7.0671904
Grône,2253,21.1,106.6,46.2519956,7.4643677
Grono,997,14.8,67.3,46.2477371,9.1461813
Grossaffoltern,2887,15.1,192.1,47.06623,7.3608
Grossdietwil,836,10.2,82.0,47.1714237,7.8856797
Grosshöchstetten,3433,3.4,992.2,46.9067025,7.638022
Grosswangen,3097,19.7,157.1,47.1338759,8.0477719
Grub(AR),1020,4.2,241.7,47.447864,9.509459
Grüningen,3283,8.8,373.5,47.2829567,8.7615482
Grüsch,1953,43.3,45.1,46.9806104,9.6503565
Gruyères,2077,28.4,73.2,46.5777555,7.0624775
Gryon,1241,15.2,81.5,46.2778331,7.0675893
Gsteig,987,62.4,15.8,46.3852631,7.267346
Gsteigwiler,422,7.0,60.1,46.6551888,7.8732786
Guarda,161,31.5,5.1,46.7756707,10.1528726
Gudo,831,9.9,83.6,46.174232,8.9489996
Gündlischwand,314,16.9,18.6,46.6318906,7.9124686
Günsberg,1135,5.3,216.2,47.2565066,7.5762305
Güttingen,1491,9.5,157.1,47.6035595,9.287589
Guggisberg,1556,54.9,28.3,46.7673098,7.3289988
Gunzgen,1646,3.9,417.8,47.3134764,7.8438305
Gurbrü,253,1.8,137.5,46.9645548,7.2139233
Gurmels,4030,17.2,233.1,46.8925653,7.1712014
Gurtnellen,571,83.4,6.9,46.73796,8.62781
Gurzelen,809,4.5,178.2,46.7798387,7.5336675
Guttannen,321,200.7,1.6,46.6552082,8.2892297
Guttet-Feschel,432,10.5,41.1,46.3217014,7.671086
Gy,497,3.2,151.5,46.2495945,6.2547728
Habkern,648,51.1,12.7,46.7271574,7.8649048
Habsburg,410,2.2,183.9,47.4626153,8.1860531
Häfelfingen,273,3.9,68.9,47.4150792,7.8659947
Hägendorf,4702,13.9,337.3,47.3331438,7.843562
Häggenschwil,1223,9.2,134.4,47.4939507,9.3433245
Hägglingen,2334,7.8,301.2,47.3869008,8.251313
Härkingen,1453,5.6,264.2,47.3073359,7.8189943
Häutligen,248,3.0,80.8,46.8574434,7.6054411
Hagenbuch,1085,8.2,133.6,47.5213595,8.8890608
Hagneck,405,1.8,221.3,47.05672,7.1857
Haldenstein,1001,18.6,53.9,46.8786697,9.5261007
Hallau,2071,15.3,135.2,47.6967786,8.4574122
Hallwil,784,2.2,358.0,47.3299656,8.1743906
Halten,863,1.9,471.6,47.1703736,7.6035786
Hasle(LU),1732,40.3,43.0,46.9800466,8.0538414
HaslebeiBurgdorf,3262,21.9,149.0,47.015867,7.6452
